id	filing_type	contract_number	url	committee	agency	callsign	dc_slug	thumbnail_url	gross_amount	market_id	upload_date
23969	Federal	314271	/collect/files/59438/Political File/2012/Federal/US Senate/STATE OF OHIO/JOSH MANDEL/NRSC_Mandel_REP_Senate_1010_101412_314271 (13498032920836)_.pdf	NRSC-MANDEL/REPUBLICAN	STRATEGIC MEDIA SERVICES	WCPO-TV	459790-nrsc_mandel_rep_senate_1010_101412_314271	https://s3.amazonaws.com/s3.documentcloud.org/documents/459790/pages/nrsc_mandel_rep_senate_1010_101412_314271-p1-thumbnail.gif	21100	35	2012-10-10 00:00:00 UTC
2333	Non-Candidate Issue Ads	9792042	/collect/files/11289/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/order 49396/60 plus assoc order 49396 (13449777974268)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WKRC-TV	416491-collect-files-11289-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/416491/pages/collect-files-11289-political-file-2012-non-p1-thumbnail.gif	6250	35	2012-08-14 00:00:00 UTC
31990	Federal	336298	/collect/files/73910/Political File/2012/Federal/President/Randall Terry/101612 Terry contract 2 (13504017232906)_.pdf	POL/R TERRY/D/PRES/US	KATHLEEN OFFERMAN	WPXI	470297-101612-terry-contract-2-13504017232906-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/470297/pages/101612-terry-contract-2-13504017232906-_-pdf-p1-thumbnail.gif	30	23	2012-10-16 00:00:00 UTC
33211	Federal	116252	/collect/files/73123/Political File/2012/Federal/US House/MI-13/SHANELLE M JACKSON/116252-0 (13442821773323)_.pdf	COMMITTEE TO ELECT SHANELLE JACKSON	SHANELLE JACKSON FOR CONGRESS	WJBK	473630-116252-0-13442821773323-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473630/pages/116252-0-13442821773323-_-pdf-p1-thumbnail.gif	1170	11	2012-08-06 00:00:00 UTC
6213	Non-Candidate Issue Ads	48982	/collect/files/72313/Political File/2012/Non-Candidate Issue Ads/PRIORITIES USA/48982/48982-1 (13448907119868)_.pdf	PRIORITIES USA ACTION	MUNDY KATOWITZ MEDIA	WHP-TV	420426-collect-files-72313-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/420426/pages/collect-files-72313-political-file-2012-non-p1-thumbnail.gif	9335	41	2012-08-13 00:00:00 UTC
5548	Federal	944723	/collect/files/65684/Political File/2012/Federal/US Senate/Massachusetts/Elizabeth Warren/State Senator/Warren 8-23-12 --1 (13457552287270)_.pdf	WARREN/D/SENATE	MEDIA STRATEGIES - VA	WCVB-TV	419754-collect-files-65684-political-file-2012-federal	https://s3.amazonaws.com/s3.documentcloud.org/documents/419754/pages/collect-files-65684-political-file-2012-federal-p1-thumbnail.gif	117225	7	2012-08-23 00:00:00 UTC
39204	State	198565	/collect/files/72326/Political File/2012/State/Pennsylvania/ROB TEPLITZ FOR STATE SENATE/TEPLITZ C198565 10-16 to 10-22 2012/Political - Teplitz 10-16 to 10-22 2012  C198565 (13509150055169)_.pdf	TEPLITZ	BUYING TIME MEDIA	WHTM-TV	479905-political-teplitz-10-16-to-10-22-2012-c198565	https://s3.amazonaws.com/s3.documentcloud.org/documents/479905/pages/political-teplitz-10-16-to-10-22-2012-c198565-p1-thumbnail.gif	11000	41	2012-10-22 00:00:00 UTC
52190	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6282852/NELSON 6282852 INVOICE (13522377110263)_.pdf			WFTV	506882-nelson-6282852-invoice-13522377110263-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506882/pages/nelson-6282852-invoice-13522377110263-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
52191	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6286507/NELSON-DSCC 6286507 INVOICE (13522380094251)_.pdf			WFTV	506883-nelson-dscc-6286507-invoice-13522380094251-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506883/pages/nelson-dscc-6286507-invoice-13522380094251-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
52194	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6312696/NELSON 6312696 INVOICE (13522377078519)_.pdf			WFTV	506886-nelson-6312696-invoice-13522377078519-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506886/pages/nelson-6312696-invoice-13522377078519-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
4615	Non-Candidate Issue Ads		/collect/files/47902/Political File/2012/Non-Candidate Issue Ads/DEFEND MY DIVIDENDS/WFOR DEFEND MY DIVIDEND X ISSUE BASEFILE FED-NATL NAB (13456524070135)_.pdf			WFOR-TV	418814-collect-files-47902-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/418814/pages/collect-files-47902-political-file-2012-non-p1-thumbnail.gif		16	2012-08-22 00:00:00 UTC
52192	Federal		/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6295631/NELSON 6295631 INVIICE (13522377099799)_.pdf			WFTV	506884-nelson-6295631-inviice-13522377099799-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506884/pages/nelson-6295631-inviice-13522377099799-_-pdf-p1-thumbnail.gif		19	2012-11-06 00:00:00 UTC
6026	Non-Candidate Issue Ads	808532	/collect/files/39746/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/808532/O-60 Plus808532--1 (13449762065724)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WOIO	420232-collect-files-39746-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/420232/pages/collect-files-39746-political-file-2012-non-p1-thumbnail.gif	6950	18	2012-08-14 00:00:00 UTC
54023	Federal	952661	/collect/files/53921/Political File/2012/Federal/President/BARACK OBAMA/OBAMA 110512 (13521540099084)_.pdf	OBAMA FOR AMERICA	OBAMA/D/PRESIDENT	WXII-TV	508732-obama-110512-13521540099084-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/508732/pages/obama-110512-13521540099084-_-pdf-p1-thumbnail.gif	73510	46	2012-11-05 00:00:00 UTC
2918	Non-Candidate Issue Ads		/collect/files/53113/Political File/2012/Non-Candidate Issue Ads/DCCC/08-29-12 (13462752019233)_.pdf			WPLG	417088-collect-files-53113-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/417088/pages/collect-files-53113-political-file-2012-non-p1-thumbnail.gif		16	2012-08-29 00:00:00 UTC
54024	State	958940	/collect/files/53921/Political File/2012/State/North Carolina/Governor/WALTER DALTON/DALTON 110612 (13522378768044)_.pdf	DALTON FOR GOVERNOR	"BUYING TIME, LLC"	WXII-TV	508733-dalton-110612-13522378768044-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/508733/pages/dalton-110612-13522378768044-_-pdf-p1-thumbnail.gif	5925	46	2012-11-06 00:00:00 UTC
52189	Federal	6190731	/collect/files/72076/Political File/2012/Federal/US Senate/FL US SENATE/BILL NELSON 1/6190731/NELSON 6190731 RV 7.1 (13521513197793)_.pdf	NELSON FOR SENATE	ABAR HUTTON MEDIA	WFTV	506881-nelson-6190731-rv-7-1-13521513197793-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/506881/pages/nelson-6190731-rv-7-1-13521513197793-_-pdf-p1-thumbnail.gif	149385	19	2012-11-05 00:00:00 UTC
2777	Non-Candidate Issue Ads	307810	/collect/files/59441/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/60Plus_8_13_307810 (13452357150840)_.pdf	60+ ASSOCIATION	MENTZER MEDIA	WEWS-TV	416945-collect-files-59441-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/416945/pages/collect-files-59441-political-file-2012-non-p1-thumbnail.gif	15900	18	2012-08-17 00:00:00 UTC
16307	Non-Candidate Issue Ads	706295	/collect/files/73195/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/60Plus 706295 092412R (13484982064034)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WKYC	442594-collect-files-73195-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/442594/pages/collect-files-73195-political-file-2012-non-p1-thumbnail.gif	6350	18	2012-09-24 00:00:00 UTC
8096	Non-Candidate Issue Ads	808557	/collect/files/39738/Political File/2012/Non-Candidate Issue Ads/60 Plus Assoc/60 Est1224808557 (13469601050045)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WXIX-TV	424794-collect-files-39738-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/424794/pages/collect-files-39738-political-file-2012-non-p1-thumbnail.gif	900	35	2012-09-06 00:00:00 UTC
8095	Non-Candidate Issue Ads	808561	/collect/files/39738/Political File/2012/Non-Candidate Issue Ads/60 Plus Assoc/60 Est 1225808561 (13469601060578)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WXIX-TV	424793-collect-files-39738-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/424793/pages/collect-files-39738-political-file-2012-non-p1-thumbnail.gif	900	35	2012-09-06 00:00:00 UTC
6027	Non-Candidate Issue Ads	808534	/collect/files/39746/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/808534/O-60 Plus808534--1 (13449762055414)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WOIO	420233-collect-files-39746-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/420233/pages/collect-files-39746-political-file-2012-non-p1-thumbnail.gif	6950	18	2012-08-14 00:00:00 UTC
2738	Non-Candidate Issue Ads	808561	/collect/files/39738/Political File/2012/Non-Candidate Issue Ads/ISS_60 PLUS EST 1225808561 (13449732063266)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WXIX-TV	416904-collect-files-39738-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/416904/pages/collect-files-39738-political-file-2012-non-p1-thumbnail.gif	900	35	
2737	Non-Candidate Issue Ads	808557	/collect/files/39738/Political File/2012/Non-Candidate Issue Ads/ISS_60 PLUS EST 1224808557 (13449732084451)_.pdf	60+ ASSOCIATION	MENTZER MEDIA SERVICES	WXIX-TV	416903-collect-files-39738-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/416903/pages/collect-files-39738-political-file-2012-non-p1-thumbnail.gif	900	35	
2778	Non-Candidate Issue Ads	307812	/collect/files/59441/Political File/2012/Non-Candidate Issue Ads/60 Plus Association/60Plus_8_13_307812 (13452357140459)_.pdf	60+ ASSOCIATION	MENTZER MEDIA	WEWS-TV	416946-collect-files-59441-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/416946/pages/collect-files-59441-political-file-2012-non-p1-thumbnail.gif	15900	18	2012-08-17 00:00:00 UTC
33212	Federal		/collect/files/73123/Political File/2012/Federal/US House/MI-13/SHANELLE M JACKSON/2012_09_24_18_34_25 (13485264033776)_.pdf			WJBK	473631-2012_09_24_18_34_25-13485264033776-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473631/pages/2012_09_24_18_34_25-13485264033776-_-pdf-p1-thumbnail.gif		11	2012-09-24 00:00:00 UTC
33223	Federal		/collect/files/73123/Political File/2012/Federal/US Senate/US Senate/DEBBIE STABENOW/2012_09_14_16_18_17 (13476552273674)_.pdf			WJBK	473642-2012_09_14_16_18_17-13476552273674-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473642/pages/2012_09_14_16_18_17-13476552273674-_-pdf-p1-thumbnail.gif		11	2012-09-14 00:00:00 UTC
5555	Federal	940943	/collect/files/65684/Political File/2012/Federal/US Senate/Massachusetts/Elizabeth Warren/State Senator/Warren 8-29-12 --5 (13462743114349)_.pdf	WARREN/D/SENATE	MEDIA STRATEGIES - VA	WCVB-TV	419761-collect-files-65684-political-file-2012-federal	https://s3.amazonaws.com/s3.documentcloud.org/documents/419761/pages/collect-files-65684-political-file-2012-federal-p1-thumbnail.gif	120375	7	2012-08-29 00:00:00 UTC
5550	Federal	945306	/collect/files/65684/Political File/2012/Federal/US Senate/Massachusetts/Elizabeth Warren/State Senator/Warren 8-23-12 --3 (13457559281913)_.pdf	WARREN/D/SENATE	MEDIA STRATEGIES - VA	WCVB-TV	419756-collect-files-65684-political-file-2012-federal	https://s3.amazonaws.com/s3.documentcloud.org/documents/419756/pages/collect-files-65684-political-file-2012-federal-p1-thumbnail.gif	119825	7	2012-08-23 00:00:00 UTC
5559	Federal	940943	/collect/files/65684/Political File/2012/Federal/US Senate/Massachusetts/Elizabeth Warren/State Senator/Warren 8-9-12  2 (13449582595997)_.pdf	WARREN/D/SENATE	MEDIA STRATEGIES - VA	WCVB-TV	419765-collect-files-65684-political-file-2012-federal	https://s3.amazonaws.com/s3.documentcloud.org/documents/419765/pages/collect-files-65684-political-file-2012-federal-p1-thumbnail.gif	123975	7	2012-08-14 00:00:00 UTC
55223	Federal	336563 / 4	/collect/files/74170/Political File/2012/Federal/US House/CT-05/ANDREW RORABACK/336563  10-29 - 116/336563-4 (13524183201766)_.pdf	RORABACK FOR CONGRESS	JAMESTOWN ASSOCIATES	WVIT	511281-336563-4-13524183201766-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511281/pages/336563-4-13524183201766-_-pdf-p1-thumbnail.gif	26800	30	2012-11-08 00:00:00 UTC
4283	Non-Candidate Issue Ads		/collect/files/10213/Political File/2012/Non-Candidate Issue Ads/RESTORE OUR FUTURE/RESTORE OUR FUTURE-08142012140113 (13449678065680)_.pdf			WPMT	418478-collect-files-10213-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/418478/pages/collect-files-10213-political-file-2012-non-p1-thumbnail.gif		41	2012-08-14 00:00:00 UTC
33236	Federal	4079402	/collect/files/73123/Political File/2012/Federal/US Senate/US Senate/Pete Hoekstra/2012_10_15_13_53_22 (13503243028443)_.pdf	HOEKSTRA FOR SENATE	BRABENDER COX LLC	WJBK	473655-2012_10_15_13_53_22-13503243028443-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473655/pages/2012_10_15_13_53_22-13503243028443-_-pdf-p1-thumbnail.gif	20625	11	2012-10-15 00:00:00 UTC
33208	Federal	116091	/collect/files/73123/Political File/2012/Federal/US House/MI-13/JOHN JR. CONYERS/2012_08_28_16_15_43 (13461858070419)_.pdf	CONYERS FOR CONGRESS	BARLOW COMMUNICATIONS	WJBK	473627-2012_08_28_16_15_43-13461858070419-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473627/pages/2012_08_28_16_15_43-13461858070419-_-pdf-p1-thumbnail.gif	4500	11	2012-08-28 00:00:00 UTC
24497	Federal	549670	/collect/files/47401/Political File/2012/Federal/US House/VA-02/EDWARD SCOTT RIGELL/rigell.549670rev1.wtkr.10.01.12 (13498170333263)_.pdf	RIGELL/CD2/R	AMERICAN MEDIA & ADVOCACY GROUP	WTKR	461648-rigell-549670rev1-wtkr-10-01-12-13498170333263-_	https://s3.amazonaws.com/s3.documentcloud.org/documents/461648/pages/rigell-549670rev1-wtkr-10-01-12-13498170333263-_-p1-thumbnail.gif	45970	43	2012-10-09 00:00:00 UTC
31962	Federal		/collect/files/25454/Political File/2012/Federal/US House/PA-12/MARK CRITZ/KDKA MARK CRITZ D HOUSE PA CD12 ORD56786 FED INVOICE-2 (13504062249907)_.pdf			KDKA-TV	470267-kdka-mark-critz-d-house-pa-cd12-ord56786-fed	https://s3.amazonaws.com/s3.documentcloud.org/documents/470267/pages/kdka-mark-critz-d-house-pa-cd12-ord56786-fed-p1-thumbnail.gif		23	2012-10-16 00:00:00 UTC
32006	Non-Candidate Issue Ads	322710	/collect/files/73910/Political File/2012/Non-Candidate Issue Ads/DCCC/101612 DCCC contract 2 (13503999156904)_.pdf	DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE	GREAT AMERICAN MEDIA	WPXI	470313-101612-dccc-contract-2-13503999156904-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/470313/pages/101612-dccc-contract-2-13503999156904-_-pdf-p1-thumbnail.gif	135125	23	2012-10-16 00:00:00 UTC
2936	Non-Candidate Issue Ads		/collect/files/65593/Political File/2012/Non-Candidate Issue Ads/LCVSENATE MAJORITY PAC/LCVSEN MAJ PAC est 1611/LCVSENMAJ NAB (13450455114902)_.pdf			WUSA	417106-collect-files-65593-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/417106/pages/collect-files-65593-political-file-2012-non-p1-thumbnail.gif		8	2012-08-15 00:00:00 UTC
55225	Federal	342425 / 5	/collect/files/74170/Political File/2012/Federal/US Senate/US Senator - CT/CHRISTOPHER MURPHY/342425  10-29 - 11-4/342425-5 (13524183101415)_.pdf	MURPHY FOR SENATE	MESSAGE AND MEDIA	WVIT	511283-342425-5-13524183101415-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511283/pages/342425-5-13524183101415-_-pdf-p1-thumbnail.gif	50350	30	2012-11-08 00:00:00 UTC
33230	Federal	132614	/collect/files/73123/Political File/2012/Federal/US Senate/US Senate/DEBBIE STABENOW/2012_10_01_13_03_38 (13491117067318)_.pdf	STABENOW FOR SENATE	MEDIA STRATEGIES & RESEARCH	WJBK	473649-2012_10_01_13_03_38-13491117067318-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/473649/pages/2012_10_01_13_03_38-13491117067318-_-pdf-p1-thumbnail.gif	46275	11	2012-10-01 00:00:00 UTC
2946	Non-Candidate Issue Ads	705695	/collect/files/65593/Political File/2012/Non-Candidate Issue Ads/RNC/RNC est 2994/RNC est 2994 0811-081705695 (13446383728166)_.pdf	RNC	NATIONAL MEDIA INC./POL	WUSA	417116-collect-files-65593-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/417116/pages/collect-files-65593-political-file-2012-non-p1-thumbnail.gif	110500	8	
2953	Non-Candidate Issue Ads		/collect/files/65593/Political File/2012/Non-Candidate Issue Ads/PRIORITIES USA ACTION/Estimate 1563/Priorities USA Action - NAB (13458519084506)_.pdf			WUSA	417123-collect-files-65593-political-file-2012-non	https://s3.amazonaws.com/s3.documentcloud.org/documents/417123/pages/collect-files-65593-political-file-2012-non-p1-thumbnail.gif		8	
55230	Federal	342852 / 2	/collect/files/74170/Political File/2012/Federal/US Senate/US Senator - CT/Linda McMahon/342852  10-30 - 11-6/342852-2 (13524183124047)_.pdf	LINDA MCMAHON FOR SENATE 2012	MENTZER MEDIA	WVIT	511288-342852-2-13524183124047-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511288/pages/342852-2-13524183124047-_-pdf-p1-thumbnail.gif	110200	30	2012-11-08 00:00:00 UTC
55233	Non-Candidate Issue Ads	345363	/collect/files/74170/Political File/2012/Non-Candidate Issue Ads/DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE DCCC/345363  11-2 - 11-6/345363-0 (13524181183619)_.pdf	DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE	GREAT AMERICAN MEDIA	WVIT	511291-345363-0-13524181183619-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511291/pages/345363-0-13524181183619-_-pdf-p1-thumbnail.gif	100000	30	2012-11-08 00:00:00 UTC
55227	Federal	344110	/collect/files/74170/Political File/2012/Federal/US Senate/US Senator - CT/CHRISTOPHER MURPHY/344110  10-29 - 11-4/344110-0 (13524181205225)_.pdf	MURPHY FOR SENATE	MESSAGE AND MEDIA	WVIT	511285-344110-0-13524181205225-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511285/pages/344110-0-13524181205225-_-pdf-p1-thumbnail.gif	27675	30	2012-11-08 00:00:00 UTC
2178	Federal		/collect/files/23074/Political File/2012/Federal/US House/CO-03/SCOTT TIPTON/TIPTON.NAB FORM.KUSA (13457496076570)_.pdf			KUSA	416330-collect-files-23074-political-file-2012-federal	https://s3.amazonaws.com/s3.documentcloud.org/documents/416330/pages/collect-files-23074-political-file-2012-federal-p1-thumbnail.gif		17	2012-08-23 00:00:00 UTC
55232	Non-Candidate Issue Ads	344206	/collect/files/74170/Political File/2012/Non-Candidate Issue Ads/CT FUTURE PAC/344206  10-27 - 10-30/344206-2 (13524181028832)_.pdf	CONNECTICUT'S FUTURE PAC	WATERFRONT STRATEGIES/ POL	WVIT	511290-344206-2-13524181028832-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511290/pages/344206-2-13524181028832-_-pdf-p1-thumbnail.gif	9750	30	2012-11-08 00:00:00 UTC
55224	Federal	339995/1	/collect/files/74170/Political File/2012/Federal/US House/CT-05/ELIZABETH ESTY/339995  10-30 - 11-6/339995-1 (13524183255885)_.pdf	FRIENDS OF ELIZABETH ESTY	GMMB	WVIT	511282-339995-1-13524183255885-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511282/pages/339995-1-13524183255885-_-pdf-p1-thumbnail.gif	44950	30	2012-11-08 00:00:00 UTC
55228	Federal	334325 / 8	/collect/files/74170/Political File/2012/Federal/US Senate/US Senator - CT/Linda McMahon/334325  10-30 - 11-6/334325-8 (13524183157789)_.pdf	LINDA MCMAHON FOR SENATE 2012	MENTZER MEDIA	WVIT	511286-334325-8-13524183157789-_-pdf	https://s3.amazonaws.com/s3.documentcloud.org/documents/511286/pages/334325-8-13524183157789-_-pdf-p1-thumbnail.gif	203175	30	2012-11-08 00:00:00 UTC
